---------- Begin Simulation Statistics ----------
system.cpu_cluster.cpus.statFuNoFree::SimdFloatReduceCmp            0      0.00%     36.95% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::SimdAes            0      0.00%     36.95% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::SimdAesMix            0      0.00%     36.95% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::SimdSha1Hash            0      0.00%     36.95% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::SimdSha1Hash2            0      0.00%     36.95% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::SimdSha256Hash            0      0.00%     36.95% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::SimdSha256Hash2            0      0.00%     36.95% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::SimdShaSigma2            0      0.00%     36.95% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::SimdShaSigma3            0      0.00%     36.95% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::SimdPredAlu            0      0.00%     36.95% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::MemRead       246287     63.01%     99.96% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::MemWrite          154      0.04%    100.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::FloatMemRead            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::FloatMemWrite            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::IprAccess            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::InstPrefetch            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statAvgFUUtilization::No_OpClass            0      0.00%      0.00% # Avg utilization of FU (Count)
system.cpu_cluster.cpus.statAvgFUUtilization::IntAlu     1.138098      7.93%      7.93% # Avg utilization of FU (Count)
system.cpu_cluster.cpus.statAvgFUUtilization::IntMult     0.331989      2.31%     10.25% # Avg utilization of FU (Count)
system.cpu_cluster.cpus.statAvgFUUtilization::IntDiv     0.331989      2.31%     12.56% # Avg utilization of FU (Count)
system.cpu_cluster.cpus.statAvgFUUtilization::FloatAdd     0.331988      2.31%     14.88% # Avg utilization of FU (Count)
system.cpu_cluster.cpus.statAvgFUUtilization::FloatCmp     0.331988      2.31%     17.19% # Avg utilization of FU (Count)
